,,2023-04-27
NDAQ,open,54.2400016784668
NDAQ,close,54.81999969482422
NDSN,open,212.25
NDSN,close,216.0800018310547
NEE,open,74.30999755859375
NEE,close,75.8499984741211
NEM,open,46.83000183105469
NEM,close,48.27000045776367
NFLX,open,324.29998779296875
NFLX,close,325.8500061035156
NI,open,28.049999237060547
NI,close,28.549999237060547
NKE,open,124.44000244140625
NKE,close,125.69999694824219
NOC,open,452.4800109863281
NOC,close,457.67999267578125
NOW,open,440.2300109863281
NOW,close,454.3399963378906
NRG,open,33.459999084472656
NRG,close,34.06999969482422
NSC,open,200.89999389648438
NSC,close,200.86000061035156
NTAP,open,62.52000045776367
NTAP,close,63.439998626708984
NTRS,open,77.16000366210938
NTRS,close,77.02999877929688
NUE,open,145.36000061035156
NUE,close,148.2899932861328
NVDA,open,273.6300048828125
NVDA,close,272.260009765625
NVR,open,5713.1201171875
NVR,close,5799.52001953125
NWL,open,11.8100004196167
NWL,close,11.880000114440918
NWS,open,16.950000762939453
NWS,close,17.350000381469727
NWSA,open,16.760000228881836
NWSA,close,17.149999618530273
NXPI,open,160.0
NXPI,close,161.19000244140625
O,open,61.310001373291016
O,close,62.290000915527344
ODFL,open,305.17999267578125
ODFL,close,313.2099914550781
OGN,open,23.850000381469727
OGN,close,24.329999923706055
OKE,open,64.62000274658203
OKE,close,65.30000305175781
OMC,open,89.43000030517578
OMC,close,90.26000213623047
ON,open,68.68000030517578
ON,close,69.9800033569336
ORCL,open,94.30999755859375
ORCL,close,95.04000091552734
ORLY,open,883.9600219726562
ORLY,close,915.6699829101562
OTIS,open,82.83000183105469
OTIS,close,85.87999725341797
OXY,open,60.29999923706055
OXY,close,60.58000183105469
PARA,open,21.989999771118164
PARA,close,23.079999923706055
PAYC,open,287.7099914550781
PAYC,close,288.8999938964844
PAYX,open,105.83000183105469
PAYX,close,107.83999633789062
PCAR,open,73.27999877929688
PCAR,close,73.66999816894531
PCG,open,16.959999084472656
PCG,close,17.049999237060547
PEAK,open,20.780000686645508
PEAK,close,21.209999084472656
PEG,open,62.5
PEG,close,63.45000076293945
PEP,open,188.17999267578125
PEP,close,189.69000244140625
PFE,open,38.619998931884766
PFE,close,38.7400016784668
PFG,open,73.02999877929688
PFG,close,74.66000366210938
PG,open,155.3000030517578
PG,close,156.47000122070312
PGR,open,132.39999389648438
PGR,close,134.7100067138672
PH,open,314.30999755859375
PH,close,323.29998779296875
PHM,open,65.51000213623047
PHM,close,66.2699966430664
PKG,open,132.00999450683594
PKG,close,133.30999755859375
PKI,open,129.72000122070312
PKI,close,128.55999755859375
PLD,open,120.19999694824219
PLD,close,122.18000030517578
PM,open,97.87000274658203
PM,close,98.81999969482422
PNC,open,128.66000366210938
PNC,close,128.02000427246094
PNR,open,54.439998626708984
PNR,close,57.529998779296875
PNW,open,79.05999755859375
PNW,close,79.62999725341797
PODD,open,316.8999938964844
PODD,close,316.2300109863281
POOL,open,335.8800048828125
POOL,close,342.0899963378906
PPG,open,138.75999450683594
PPG,close,138.92999267578125
PPL,open,28.350000381469727
PPL,close,28.770000457763672
PRU,open,84.04000091552734
PRU,close,85.58999633789062
PSA,open,288.9800109863281
PSA,close,292.42999267578125
PSX,open,99.11000061035156
PSX,close,97.73999786376953
PTC,open,124.77999877929688
PTC,close,123.33999633789062
PWR,open,165.44000244140625
PWR,close,168.97000122070312
PXD,open,218.00999450683594
PXD,close,212.80999755859375
PYPL,open,73.0
PYPL,close,74.2699966430664
QCOM,open,113.87999725341797
QCOM,close,113.91999816894531
QRVO,open,89.4800033569336
QRVO,close,90.33000183105469
RCL,open,60.380001068115234
RCL,close,61.65999984741211
RE,open,369.0299987792969
RE,close,373.8699951171875
REG,open,59.470001220703125
REG,close,60.40999984741211
REGN,open,775.3300170898438
REGN,close,792.2899780273438
RF,open,17.790000915527344
RF,close,18.0
RHI,open,72.68000030517578
RHI,close,73.12999725341797
RJF,open,90.69000244140625
RJF,close,89.38999938964844
RL,open,112.62000274658203
RL,close,114.73999786376953
RMD,open,223.13999938964844
RMD,close,225.3000030517578
ROK,open,283.80999755859375
ROK,close,283.6199951171875
ROL,open,39.84000015258789
ROL,close,41.599998474121094
ROP,open,435.489990234375
ROP,close,452.9800109863281
ROST,open,105.13999938964844
ROST,close,105.55000305175781
RSG,open,137.33999633789062
RSG,close,137.69000244140625
RTX,open,97.68000030517578
RTX,close,99.38999938964844
SBAC,open,251.36000061035156
SBAC,close,256.8500061035156
SBUX,open,111.38999938964844
SBUX,close,112.75
SCHW,open,50.72999954223633
SCHW,close,51.72999954223633
SEDG,open,279.30999755859375
SEDG,close,289.1499938964844
SEE,open,46.27000045776367
SEE,close,47.08000183105469
SHW,open,229.52000427246094
SHW,close,232.69000244140625
SJM,open,152.67999267578125
SJM,close,153.83999633789062
SLB,open,47.38999938964844
SLB,close,47.959999084472656
SNA,open,255.85000610351562
SNA,close,259.3999938964844
SNPS,open,367.29998779296875
SNPS,close,368.3900146484375
SO,open,72.80000305175781
SO,close,73.51000213623047
SPG,open,108.66999816894531
SPG,close,110.5999984741211
